,id,target,comment_text,severe_toxicity,obscene,identity_attack,insult,threat,asian,atheist,bisexual,black,buddhist,christian,female,heterosexual,hindu,homosexual_gay_or_lesbian,intellectual_or_learning_disability,jewish,latino,male,muslim,other_disability,other_gender,other_race_or_ethnicity,other_religion,other_sexual_orientation,physical_disability,psychiatric_or_mental_illness,transgender,white,created_date,publication_id,parent_id,article_id,rating,funny,wow,sad,likes,disagree,sexual_explicit,identity_annotator_count,toxicity_annotator_count
2,59852,0.0,this is such an urgent design problem kudos to you for taking it on very impressive ! ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2015-09-29 10:50:45.222647+00,2,,2006,rejected,0,0,0,0,0,0.0,0,4
250,240022,0.0,the show had both sponsors and listeners no need to denigrate the man show ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-21 01:20:56.870807+00,6,239985.0,32516,approved,0,0,0,10,0,0.0,6,4
3361,245295,0.16666666666666666,i cannot help but wonder how eager the legislators would be to vote in a hotel tax increase to fund lower tuition ? ? ? uo is raising tuition again while grubbing for money to stage a sports extravaganza that will benefit who exactly ? certainly not the community at large nor the students shameful ,0.0,0.0,0.0,0.16666666666666666,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-21 02:24:42.697847+00,13,,40330,approved,0,0,0,1,0,0.0,0,6
4818,247456,0.0,why could not he donate   million to springfield eugene public libraries and help out everybody i guess he wants his name on a building,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-01 00:52:22.683882+00,13,,42723,approved,0,0,0,0,0,0.0,0,4
4946,247605,0.0,and just a head a piece was the quackenbush w the vacuum tubes lenny nosh bar over off of  th where the old poster current events fence bordered the old sight for poppies i sure miss the old days i really do ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-01 15:24:48.729686+00,13,247406.0,42535,approved,0,0,0,0,0,0.0,0,4
4970,247638,0.0,affirmative action in all forms be it college admission hiring job advancement or any other action where specific rewards are provided based on race ethnicity gender or other identifying characteristics instead of a specific qualification based selection are i will certainly admit troubling they have over the decades of their implementation provided opportunities for individuals who without them would never have had those opportunities there is no question about that however here the troubling part they have also had the unintended consequence of denying others who do not qualify for such preferential treatment those same opportunities the term reverse discrimination is often used to discribe this issue the case of allan bakke is a landmark example the same issue arises in title ix decisions the elimination of the wrestling program at the u of o is an example i would certainly enjoy discussing these issues with you regards gary,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-01 17:33:13.495511+00,13,247568.0,42684,approved,0,0,0,0,0,0.0,0,4
5098,247799,0.0,well the time frame fits yeats incorporates his ideas on the gyrea historical cycle of about   years he first published this idea in his writing a vision which predicted the expected anarchy that would be released around   years after the birth of christ hopefully he is not another nostradamus ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2016-03-02 05:17:54.823047+00,13,247797.0,43053,approved,0,0,0,0,0,0.0,10,4
9862,254394,0.0, criminal negligence under oregon law is not intentionally put people walking and bicycling at risk ors      criminal negligence or criminally negligent when used with respect to a result or to a circumstance described by a statute defining an offense means that a person fails to be aware of a substantial and unjustifiable risk that the result will occur or that the circumstance exists the risk must be of such nature and degree that the failure to be aware of it constitutes a gross deviation from the standard of care that a reasonable person would observe in the situation intentional is something else entirely ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-21 00:07:53.140822+00,13,254385.0,51633,approved,0,0,0,0,0,0.0,0,4
11063,255839,0.0,someone spending   million on   parcels of land likely has a plan to commercialize the property it unfortunate that mr davis is clearly being secretive and willing to jeopardize his personal public character with seldovia community ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-23 23:15:11.331601+00,21,,97762,approved,0,0,0,3,0,0.0,0,4
11385,256240,0.0,i am glad this issue has seen the light of day the state should attempt to have its government judicial and executive branches reflect the population they serve there is work to do to get there ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-24 05:55:48.369350+00,21,,98504,approved,0,0,0,1,0,0.0,0,4
13867,259281,0.0,this sort of problem is caused simply by a lack of planning plans should be done on at least the worst hundred year condition there should be much thought given to the next   generations as well all water ways tend to move around so there should be some large buffers planned for privatizing state or borough lands even though creeks and rivers tend to be natural lines of drift our highways should not be built so close to them if a bridge is required to cross it then build a good one and get as far away from the water as possible i see a lot of homes in danger of landing on the beach here on the kenai peninsula it reminds me of wash away beach at north cove in wa state when the corps of engineers dredged a channel from north willapa bay to access the pacific ocean the opened a real can of worms the entire town of north cove disappeared into the ocean the ocean could well breech the highway and all cranberry bogs will be salted man in his infinite wisdom ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-26 20:00:06.410297+00,21,,53850,approved,0,0,0,0,0,0.0,0,4
14272,259750,0.0,wavemaker  cate arriola,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-27 02:58:52.617557+00,21,258987.0,53854,approved,0,0,0,0,0,0.0,0,4
14808,260378,0.0,and for those who criticize bernies economics you are not paying attention the plans proposed by both cruz and trump are further out than what bernie has proposed ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-27 17:33:51.268963+00,21,260088.0,97379,approved,0,0,0,2,0,0.0,0,4
18151,264414,0.2,i do not understand these objections about the law not being enforced when did a court ever adjudicate that he was a mental defective ? when was he ever involuntarily committed to any mental institution ? ? there is no evidence of any kind in this report indicating that either of those things ever happened and he does not appear to have any previous criminal history either i have been unable to find anything about him committing other crimes in the past so exactly where was the law not followed or not enforced ? ? this is a really silly rant on your part as you are assuming things that you have no evidence at all ever happened should we lock up in mental institutions everyone that believes in government planes spraying chemtrails over us ? or all the people that believe   was a faked conspiracy ? the law is not currently written that way ,0.0,0.0,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-31 01:51:49.753116+00,13,264332.0,54878,approved,0,0,0,0,0,0.0,0,10
19280,265805,0.2,i knew they could not give up their overpriced taj mahawker palace with its essential electric trash cans and private toilets the seniors schools and everyone else can just eat cake ,0.0,0.0,0.0,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-01 05:41:53.251701+00,21,,97821,approved,0,0,0,14,0,0.0,0,10
19893,266546,0.0,red herring argument ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-01 21:07:36.491498+00,13,265456.0,55726,approved,0,0,0,0,0,0.0,0,4
21595,268559,0.0,and the best tasting fish is freshly caught fish good commentary ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-03 20:51:39.326422+00,21,,55390,approved,0,0,0,0,0,0.0,0,4
24347,271812,0.0,the doc commissioner is not obligated to explain anything to the acoa nor is he required to prostrate himself and diffidently ask how high ? when they scream jump ! i have rarely read a more self  serving self  aggrandizing defamatory and inflammatory document than the so  called acoa rebuttal williams should sue ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-06 20:09:45.762304+00,21,,57241,approved,0,0,0,1,0,0.0,0,4
24567,272081,0.0,medical treatment for our people or corporate welfare for the oilies : tough choice here ! ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-07 00:51:15.796893+00,21,,57517,approved,0,0,0,11,0,0.0,0,4
31414,280251,0.0,i know when i go to hire a lawyer doctor car mechanic  i always look to hire the person with   experience ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-13 17:32:20.327414+00,13,,59059,approved,0,0,0,2,0,0.0,0,4
35150,284848,0.0,congratulations to kaladi brothers coffee on their   year anniversary wishing them many more years of growth and success ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-16 06:09:52.722161+00,21,,106011,approved,0,0,0,3,0,0.0,0,4
35331,285053,0.4,well it seems the makers of this so called documentary lost all credibility by selecting mrs palin to be their spokesperson i suppose it could be entertaining to watch the nonsense but giving money to do so only feeds the beast ,0.0,0.0,0.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-16 14:34:33.449555+00,21,,59767,approved,0,0,0,2,0,0.0,0,10
